new_cat,new_id,new_pos,old_cat,old_id,old_pos
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,228-225@5s8-cd6-fxq,POINT (-93.271052 44.977251)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,zzw-22d@5s8-cd6-fvf,POINT (-93.270979 44.978023)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Naf Naf Middle Eastern Grill,zzw-22c@5s8-cd6-fzz,POINT (-93.272957 44.977928)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Caribou Coffee,22j-223@5s8-cd6-hwk,POINT (-93.271741 44.973729)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Jimmy John's,22p-222@5s8-cd6-ht9,POINT (-93.272812 44.974751)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),The Melting Pot Restaurant,22k-222@5s8-cd6-ht9,POINT (-93.272595 44.974568)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Naf Naf Middle Eastern Grill,228-223@5s8-cd6-gc5,POINT (-93.271118 44.974439)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Subway,zzw-222@5s8-cd6-7dv,POINT (-93.261444 44.978359)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Starbucks,zzy-222@5s8-cd6-389,POINT (-93.262859 44.976626)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Caribou Coffee,227-222@5s8-cd6-5xq,POINT (-93.261023 44.978536)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Panda Express,zzy-222@5s8-cjc-8d9,POINT (-93.205746 44.88197)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Chick-fil-A,229-222@5s8-cjc-ch5,POINT (-93.204635 44.88251)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Smashburger,229-226@5s8-cjc-ch5,POINT (-93.204762 44.882567)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Caribou Coffee,223-222@5s8-cky-wzf,POINT (-93.228057 45.005666)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Chatime,227-222@5s8-ckr-5vf,POINT (-93.236249 44.980243)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Jimmy John's,22n-222@5s8-ckr-v75,POINT (-93.235415 44.980642)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Raising Cane's,zzw-222@5s8-ckr-5cq,POINT (-93.234857 44.979041)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Potbelly Sandwich Works,229-222@5s8-ckr-5vf,POINT (-93.235738 44.980313)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Subway,zzw-226@5s8-ckr-v75,POINT (-93.235025 44.980969)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Starbucks,22c-222@5s8-ckr-v75,POINT (-93.235359 44.981349)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Qdoba Mexican Grill,223-222@5s8-ckr-5vf,POINT (-93.235759 44.980173)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Kung Fu Tea,zzw-223@5s8-ckr-ty9,POINT (-93.235022 44.981877)
Pizza Hut,225-222@5s8-cd4-2p9,POINT (-93.279102 44.974909),Caribou Coffee,239-223@5s8-cd4-2c5,POINT (-93.280758 44.974329)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Caribou Coffee,226-222@5s8-cd6-gp9,POINT (-93.270727 44.975947)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Leeann Chinn,zzw-22n@5s8-cd6-fj9,POINT (-93.273079 44.977515)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Caribou Coffee,zzw-22s@5s8-cd6-hyv,POINT (-93.273869 44.975591)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Dairy Queen,zzy-223@5s8-cd6-hyv,POINT (-93.273882 44.975309)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Jimmy John's,22p-222@5s8-cd6-ht9,POINT (-93.272812 44.974751)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Taco John's,24y-222@5s8-cd6-fxq,POINT (-93.270057 44.976864)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),The Melting Pot Restaurant,22k-222@5s8-cd6-ht9,POINT (-93.272595 44.974568)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Subway,zzw-22r@5s8-cd6-fvf,POINT (-93.271775 44.97791)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Starbucks,222-222@5s8-cd6-hyv,POINT (-93.274203 44.974931)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Fogo de Chão,229-222@5s8-cd6-fzz,POINT (-93.273977 44.978085)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Subway,226-222@5s8-cd6-hyv,POINT (-93.274495 44.975531)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Five Guys,zzw-225@5s8-cd6-fvf,POINT (-93.270982 44.978025)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),The Oceanaire Seafood Room,222-225@5s8-cd6-fvf,POINT (-93.271743 44.978243)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Subway,222-224@5s8-cd6-gp9,POINT (-93.270135 44.976372)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Freshii,275-222@5s8-cd6-fxq,POINT (-93.270945 44.977256)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Planet Smoothie,23n-222@5s8-cd6-fxq,POINT (-93.271058 44.977265)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Bruegger's,23m-222@5s8-cd6-fxq,POINT (-93.271005 44.977442)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Starbucks,226-227@5s8-cd6-fmk,POINT (-93.27246 44.97595)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Naf Naf Middle Eastern Grill,228-223@5s8-cd6-gc5,POINT (-93.271118 44.974439)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Caribou Coffee,228-225@5s8-cd6-fxq,POINT (-93.271052 44.977251)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Caribou Coffee,zzw-22d@5s8-cd6-fvf,POINT (-93.270979 44.978023)
Roti Mediterranean Grill,226-22g@5s8-cd6-fmk,POINT (-93.272436 44.976156),Naf Naf Middle Eastern Grill,zzw-22c@5s8-cd6-fzz,POINT (-93.272957 44.977928)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Caribou Coffee,228-222@5s8-cd6-hnq,POINT (-93.274829 44.974469)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Caribou Coffee,zzw-22s@5s8-cd6-hyv,POINT (-93.273869 44.975591)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Dairy Queen,zzy-223@5s8-cd6-hyv,POINT (-93.273882 44.975309)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Starbucks,222-222@5s8-cd6-hyv,POINT (-93.274203 44.974931)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Subway,226-222@5s8-cd6-hyv,POINT (-93.274495 44.975531)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Qdoba Mexican Grill,zzw-225@5s8-cd6-hnq,POINT (-93.274883 44.974441)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Chipotle Mexican Grill,223-222@5s8-cd6-hnq,POINT (-93.275395 44.9736)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Caribou Coffee,zzw-224@5s8-cd5-snq,POINT (-93.275849 44.972933)
Starbucks,222-224@5s8-cd6-hnq,POINT (-93.275486 44.973954),Rock Bottom Restaurant & Brewery,22j-222@5s8-cd6-h89,POINT (-93.275244 44.976399)
