safegraph_place_id,location_name,brands,top_category,sub_category,naics_code,latitude,longitude,city,region
sg:9f781b652952460cb80092b1a06a28a7,Camden Liquors,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","445310",45.031022,-93.288492,Minneapolis,MN
sg:0987ec46dbce4f18a9a997d44ffd8f21,Broadway Family Medicine Clinic,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.999796,-93.293748,Minneapolis,MN
sg:214f9f5abace48b9b0c117ccdf114ab9,My Sister's Closet,,Used Merchandise Stores,Used Merchandise Stores,"453310",44.952584,-93.297614,Minneapolis,MN
sg:885f21172f23443998fb0176c01ca21f,Crossroad Preschool,,Child Day Care Services,Child Day Care Services,"624410",44.970363,-93.257821,Minneapolis,MN
sg:1037f56d80074274adc3334ad7cbe8af,Loring Park,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,"712190",44.969113,-93.281124,Minneapolis,MN
sg:2f529c6e7ba54463965cbf2468afc2eb,Minneapolis Towing,,Support Activities for Road Transportation,Motor Vehicle Towing,"488410",44.977213,-93.270613,Minneapolis,MN
sg:c087c753bc0c4093971d237cacfc484e,Baha'i Center,,Religious Organizations,Religious Organizations,"813110",44.936243,-93.262896,Minneapolis,MN
sg:3ed8138f888a4e3981e28a496728e777,Ampco System Parking,,Other Personal Services,Parking Lots and Garages,"812930",44.977822,-93.257277,Minneapolis,MN
sg:42c91d51aaeb4b94b91054337b413fa7,Superusa,,Gasoline Stations,Gasoline Stations with Convenience Stores,"447110",45.024217,-93.296135,Minneapolis,MN
sg:46dec03fccb546bcb4239367e8face3d,Wakame Sushi & Asian Bistro,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.946781,-93.321975,Minneapolis,MN
sg:84bebd2d761248c4adf9512c16610ef7,Hui's Chow Mein,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",45.013302,-93.293973,Minneapolis,MN
sg:8a6522be91fb4f189db2cb28acda0dc2,Uppercuts Round 2 Barbershop,,Personal Care Services,Beauty Salons,"812112",44.948491,-93.280627,Minneapolis,MN
sg:bd64b121a62f4194b64fcf2979e2d87a,European Wax Center (EWC),European Wax Center (EWC),Personal Care Services,Beauty Salons,"812112",44.97393,-93.224341,Minneapolis,MN
sg:035b7922de1d4bc7b3a1f2f1ef928d5c,MX Painters,,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance","811121",45.012483,-93.303457,Minneapolis,MN
sg:19dfc4ce2d6243c6919639ceed9c7a5d,Gold Star Foods,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",45.013408,-93.29015,Minneapolis,MN
sg:53c7bb2733be48dab79063e5d5264e85,Whiskey on Ice,,RV (Recreational Vehicle) Parks and Recreational Camps,RV (Recreational Vehicle) Parks and Campgrounds,"721211",44.980302,-93.263131,Minneapolis,MN
sg:8c17c7fb020a430a9e5eb6b48a922855,Northwestern Mutual,Northwestern Mutual,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.976244,-93.268617,Minneapolis,MN
sg:b8f467e7faef4ff7a39a8ff6a1cbeae5,Hennepin Elementary School,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.961254,-93.271091,Minneapolis,MN
sg:c980384d21ff4a1bb0a5701252fe0d20,State Farm,State Farm,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.94947,-93.296103,Minneapolis,MN
sg:e66109eef5354686bd21f2f5497b4e39,The Simple Sandwich,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.978332,-93.267031,Minneapolis,MN
sg:1b52cf7a80cd470fa35375f99995dda0,Midwest Podiatry Centers,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.97496,-93.273463,Minneapolis,MN
sg:69f6d3cc99dc417d89c409260306f358,Commers Custom Jewelers,,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,"448310",45.005036,-93.257406,Minneapolis,MN
sg:6cda0c36c9654dafa9dfe27ed67ee16e,Chow Daniel T MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.975573,-93.273061,Minneapolis,MN
sg:4c209245286c488cadff6d89bcf34699,Alternative Bike & Board Shop,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,"451110",44.947778,-93.287828,Minneapolis,MN
sg:2ad72bc73b6646be8b8ce753c7d769b8,Wadajir Grocery & Halal Meat,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",44.967984,-93.247005,Minneapolis,MN
sg:e715cbaa9e284bc0a62cebf88a714b85,Minneapolis Police Department,,"Executive, Legislative, and Other General Government Support",Other General Government Support,"921190",44.977278,-93.265442,Minneapolis,MN
sg:b62d7404331048fb8b4238fd7f8b0457,Eden,,Services to Buildings and Dwellings,Carpet and Upholstery Cleaning Services,"561740",44.976168,-93.268601,Minneapolis,MN
sg:20095d1225a14b66bbc9e3abd8b25239,Rapha El Acupuncture & Massage,,Personal Care Services,Other Personal Care Services,"812199",44.914281,-93.229992,Minneapolis,MN
sg:9753061c45aa47f1b61e21dcf7cf17eb,Minnesota Medical Solutions Minneapolis,,Drugs and Druggists' Sundries Merchant Wholesalers,Drugs and Druggists' Sundries Merchant Wholesalers,"424210",44.973397,-93.270815,Minneapolis,MN
sg:1ff0e89f5a6d46f18602abc2f6056f94,Rick's Cabaret,,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),"512131",44.979042,-93.264436,Minneapolis,MN
sg:5481fa5b7adb4047a4471162108bc71b,Versare,,"Office Supplies, Stationery, and Gift Stores",Office Supplies and Stationery Stores,"453210",45.026992,-93.270778,Minneapolis,MN
sg:b941696aa44143e2a902573c756ea307,Mailbox Solutions Plus,,Couriers and Express Delivery Services,Couriers and Express Delivery Services,"492110",45.03563,-93.308801,Minneapolis,MN
sg:fbdb782004a84094b5fef38df96d6a09,The Lathe Room,,"Sporting Goods, Hobby, and Musical Instrument Stores",Musical Instrument and Supplies Stores,"451140",44.956983,-93.23268,Minneapolis,MN
sg:17ea85532e47443bac994e6a75015525,AutoZone,AutoZone,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,"441310",44.948609,-93.272061,Minneapolis,MN
sg:3bdf5d8bbb97409194a2345e33c5f5a6,Red Cow Uptown,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.95476,-93.297466,Minneapolis,MN
sg:ca61db2107544f45aabf3363c540dc40,Bogart's Doughnut Co,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.975971,-93.272662,Minneapolis,MN
sg:11fc7116aa1e4490a661b615a6aad8b5,Flamenco Organic Coffee Company,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.992633,-93.225135,Minneapolis,MN
sg:25e6662f8f0d41e582edebb544a70cfe,Heritage Science & Technology,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.989049,-93.226243,Minneapolis,MN
sg:25a82e27312942099630f75c33fb3882,3 Bears Chiropractic & Wellness,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.946913,-93.289121,Minneapolis,MN
sg:32f2acf0a9f0475d940e8ebd3a4d9ce5,Nani Nalu,,Clothing Stores,Women's Clothing Stores,"448120",44.912369,-93.328237,Minneapolis,MN
sg:4112b3dd26e0469ab4dcecef098cac44,Framestyles,,"Office Supplies, Stationery, and Gift Stores","Gift, Novelty, and Souvenir Stores","453220",44.961493,-93.308008,Minneapolis,MN
sg:64985eda38bb43e5b653a902ec989fe2,Proper & Prim,,Clothing Stores,Women's Clothing Stores,"448120",44.952232,-93.287732,Minneapolis,MN
sg:920fc5e41cef4510b9157e4ecffa888f,Ron's Auto,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.934402,-93.218643,Minneapolis,MN
sg:031b0702a05b4e658727e405fd4871f9,Continental Clay Company,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores","451130",45.000203,-93.226316,Minneapolis,MN
sg:494013165713482bae2a2649ba4111dd,U.S. Bank,U.S. Bank,Depository Credit Intermediation,Commercial Banking,"522110",44.976998,-93.267267,Minneapolis,MN
sg:a8a4160a481d42529a0c10fd651a5dcb,Recovery Bike Shop,,"Sporting Goods, Hobby, and Musical Instrument Stores",Sporting Goods Stores,"451110",45.013419,-93.24775,Minneapolis,MN
sg:01f18eddb9f74290a35742debe7a6085,Clausen Consulting,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.971663,-93.278111,Minneapolis,MN
sg:36effdc6a06e42c18b30ee70568ce4e2,Angela's FaithNFitness,,Personal Care Services,Diet and Weight Reducing Centers,"812191",44.986537,-93.315619,Minneapolis,MN
sg:6197a175de794d6c92df6fb24fcb248b,University of Minnesota Health Breast Center,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.970451,-93.224522,Minneapolis,MN
sg:fffe2405245945d3906a083e2788068e,Bullwinkle's Saloon & Funbar,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.972944,-93.248016,Minneapolis,MN
sg:1ac728c2f0c84092af52c7490b094ce5,Minneapolis Gymnastics,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.92721,-93.213727,Minneapolis,MN
sg:507971d76d7b401b9377d711189ba9b3,Subway,Subway,Restaurants and Other Eating Places,Limited-Service Restaurants,"722513",44.906031,-93.287905,Minneapolis,MN
sg:ee776a2ffbc54e0284370c4365477f53,Caliber Collision,Caliber Collision,Automotive Repair and Maintenance,"Automotive Body, Paint, and Interior Repair and Maintenance","811121",44.972909,-93.26342,Minneapolis,MN
sg:efef7eeeadf244a4b247751b3583f6b9,The Salvation Army,The Salvation Army,Used Merchandise Stores,Used Merchandise Stores,"453310",45.01797,-93.246887,Minneapolis,MN
sg:7f160d734ce845f49caba82bee10204c,Hawkins Automotive,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.921245,-93.278399,Minneapolis,MN
sg:819fab179fdf498ea68096220229daaa,Wells Fargo,Wells Fargo,Depository Credit Intermediation,Commercial Banking,"522110",44.963033,-93.234173,Minneapolis,MN
sg:e0d62c4cd5a142d496e1cbfed3c38639,MGD Floral Design,,Florists,Florists,"453110",44.894851,-93.295597,Minneapolis,MN
sg:3c285882dad2425b838f974c83068067,United Way,United Way,Grantmaking and Giving Services,Other Grantmaking and Giving Services,"813219",44.973737,-93.267039,Minneapolis,MN
sg:6be4fac05e1b4f5ca0e7115bdc1d1709,Lawler Casey M MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.952395,-93.260817,Minneapolis,MN
sg:2ba86e4c6df8405594d587fd83d5c50a,Well Adjusted Minneapolis,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.985713,-93.270086,Minneapolis,MN
sg:f55bc9f1f32f4badbf9767d6399e6556,New City School,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",45.001212,-93.264895,Minneapolis,MN
sg:37c4953d00c74fe2b70561fdcdf46c07,Sea Salt Eatery,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.916085,-93.211149,Minneapolis,MN
sg:c20a1f65c02d450dad1cf8e61d44f5b1,Rosacker's,,Florists,Florists,"453110",44.947148,-93.321679,Minneapolis,MN
sg:1c44805ddd9f48d3bf000d6319df3425,Downtown Market & Tobacco,,Other Miscellaneous Store Retailers,Tobacco Stores,"453991",44.982245,-93.26469,Minneapolis,MN
sg:7485daa51ad1428fb3301c6814145522,Canteen 3255,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.943059,-93.29047,Minneapolis,MN
sg:10626eb3610248c8b2a7684cd5c6be4e,Healthcare Chiropractic Clinic,,Offices of Other Health Practitioners,Offices of Chiropractors,"621310",44.953944,-93.27636,Minneapolis,MN
sg:400f8e653bcb484b9160c5b94b1231a0,Skol Liquor Store,,"Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","445310",44.957201,-93.233426,Minneapolis,MN
sg:79e6f95d337c4a91b5d97b66d715e85f,Thomas N Schriefer,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.950968,-93.263053,Minneapolis,MN
sg:87d605b063b141b393a82161b7e59ad8,Punch Neapolitan Pizza Stadium Village,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.973432,-93.226733,Minneapolis,MN
sg:9e6ea5b2cf7145529e80649805980577,The Massage Co op,,Personal Care Services,Other Personal Care Services,"812199",44.945287,-93.297936,Minneapolis,MN
sg:9ef458600cd640ada428cdcc7414ff0c,Rainbow Shops,Rainbow Shops,Clothing Stores,Family Clothing Stores,"448140",44.998267,-93.28771,Minneapolis,MN
sg:0d978007c5bf4e80897cce2b48379e34,Bucher David MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.94763,-93.318355,Minneapolis,MN
sg:1ead44c8d5f846c39d4f9e5a26d876b5,Nelson's Automotive Nokomis,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.904805,-93.222503,Minneapolis,MN
sg:60165417f5c844a8a35f04a286a218cf,Woodson Institute For Excellence Ch,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.992346,-93.211401,Minneapolis,MN
sg:97f040560d964b30973b25043a8be08d,Magnetic Originals,,"Sporting Goods, Hobby, and Musical Instrument Stores","Sewing, Needlework, and Piece Goods Stores","451130",44.94801,-93.297613,Minneapolis,MN
sg:a6051df504924f4bafc479ff3294d893,Riverside Evangelical Free Church,,Religious Organizations,Religious Organizations,"813110",44.904181,-93.222657,Minneapolis,MN
sg:1c6eabcd8580433189b97b2bb9edc39c,5th Street Station,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.984314,-93.278522,Minneapolis,MN
sg:1cf0b72216044758b1467dd38634275e,Tangletown Psychotherapy and Assessment Center,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),"621330",44.904068,-93.27762,Minneapolis,MN
sg:1d4705452b894a29b5935da0ec9f61ef,Starr Automotive,,Automotive Repair and Maintenance,General Automotive Repair,"811111",44.947981,-93.215002,Minneapolis,MN
sg:d18a3d8ede06479a8a9d2cb466a92ba1,Bright Horizons Minneapolis Gaviidae,,Child Day Care Services,Child Day Care Services,"624410",44.977184,-93.271368,Minneapolis,MN
sg:e082423bf46b4a469c5e1448ab27fbe7,Hiawatha Leadership Acad Northrop,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.919375,-93.250391,Minneapolis,MN
sg:1d5b3708542d4e1eb252dda7dbbd7bb1,Chuck & Don's Pet Food Outlet,Chuck & Don's Pet Food Outlet,Other Miscellaneous Store Retailers,Pet and Pet Supplies Stores,"453910",44.948986,-93.321583,Minneapolis,MN
sg:818e418c7ca94c29aa576bfc2ca62fa2,Fish Bowl Poke,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.994643,-93.259494,Minneapolis,MN
sg:c268b30a72a0491ab335ea4524f5e959,Aster Cafe,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.984555,-93.255018,Minneapolis,MN
sg:e14a07de7caf40b6adb53c64e94627cd,D Brian's Kitchen & Catering,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.976452,-93.260607,Minneapolis,MN
sg:41ca4f3a58c7468096b1c98f945e42b2,Lela's Virtue Lounge,,Personal Care Services,Beauty Salons,"812112",44.951766,-93.297989,Minneapolis,MN
sg:8846bd40925f4022830bc439e1e7abce,Snap Fitness,Snap Fitness,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,"713940",44.904699,-93.308234,Minneapolis,MN
sg:bf02174a8f91478c8d8a6ce263c36d2a,Gluek's Restaurant & Bar,,Drinking Places (Alcoholic Beverages),Drinking Places (Alcoholic Beverages),"722410",44.979461,-93.273994,Minneapolis,MN
sg:e19d72e01b434268b8ca9dc5e6081ee7,Shuang Hur Oriental Market,,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"445110",44.953306,-93.278262,Minneapolis,MN
sg:92ab625c6b6c4b59af4c322e281d7425,Louisiana Famous Fried Chicken,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.999939,-93.291282,Minneapolis,MN
sg:e7e47e9b8770477597b6130aedc738f6,Agra Culture,,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,"722515",44.958513,-93.273547,Minneapolis,MN
sg:47e3c8dd088947b0a4cebaf090bf8bfb,Tobacco,,Other Miscellaneous Store Retailers,Tobacco Stores,"453991",44.97376,-93.26614,Minneapolis,MN
sg:b43a17fc657b4e36aeb39b12c4a73ea4,Acorn Mini Storage,,Automotive Equipment Rental and Leasing,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing","532120",45.014152,-93.259539,Minneapolis,MN
sg:4dc3698026714b179353ba96e000d912,Rug Doctor Rents,,Building Material and Supplies Dealers,Hardware Stores,"444130",45.013036,-93.308448,Minneapolis,MN
sg:2f460130166141f9a467e41c5fcb6f0e,The Smitten Kitten,,Offices of Dentists,Offices of Dentists,"621210",44.947924,-93.288513,Minneapolis,MN
sg:579c8bfd3ea34d6384df953922f981c3,The Green Machine,,Other Miscellaneous Store Retailers,Tobacco Stores,"453991",44.958881,-93.277533,Minneapolis,MN
sg:0104b2df38b547c2827e339ab64827f2,Jax Cafe,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",45.008376,-93.263389,Minneapolis,MN
sg:2748ffcb025c4c82b4fa07413518f964,Sacre Sweet,,Bakeries and Tortilla Manufacturing,Retail Bakeries,"311811",44.935047,-93.262748,Minneapolis,MN
sg:462bb97360194f2bb11ce63ea3693405,Hi Lo Diner,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.948577,-93.214274,Minneapolis,MN
sg:9c718ce496d046c08d04de8afe108a36,Jimmy John's,Jimmy John's,Restaurants and Other Eating Places,Limited-Service Restaurants,"722513",44.968074,-93.242705,Minneapolis,MN
sg:ab5bee344cdc423583de99c4e3c73947,Quba,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.968844,-93.25092,Minneapolis,MN
sg:d4c5ed3631e649548080c3f6b45694ac,United States Postal Service (USPS),United States Postal Service (USPS),Postal Service,Postal Service,"491110",44.98344,-93.264458,Minneapolis,MN
sg:19dc70504c6f4ab6a5c2b45066287c13,Church of God of Prophesy,,Religious Organizations,Religious Organizations,"813110",45.027524,-93.313177,Minneapolis,MN
sg:156264af64ce4c2b961c00ff447c90fe,State Farm,State Farm,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,"524210",44.940431,-93.27828,Minneapolis,MN
sg:6f77e858faa64669868b6533c5dce201,Blooming Willows Preschool,,Child Day Care Services,Child Day Care Services,"624410",44.898721,-93.252351,Minneapolis,MN
sg:a042e1144e9d437abe0fb09848b90fe3,Lights Camera Action Salon,,Personal Care Services,Beauty Salons,"812112",44.984939,-93.270369,Minneapolis,MN
sg:b5b120a4051b4b0897ea34d597be318d,Amason Fritz MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),"621111",44.962332,-93.279046,Minneapolis,MN
sg:048f3885c8ec4dcca7b867df62102a7e,Feral Collective,,Personal Care Services,Other Personal Care Services,"812199",44.986507,-93.278307,Minneapolis,MN
sg:04a713d0635b44bfad669947e0adb7f9,United States Postal Service (USPS),United States Postal Service (USPS),Postal Service,Postal Service,"491110",44.980264,-93.275228,Minneapolis,MN
sg:177309db280149e0bdb83bbcd8b4c949,Uruba Restaurant,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.965006,-93.278048,Minneapolis,MN
sg:405bb29547bc4ab5aba947c3658deb8d,Westgate Pet Clinic,,"Other Professional, Scientific, and Technical Services",Veterinary Services,"541940",44.923187,-93.328838,Minneapolis,MN
sg:7d77facb72e44723826f45eaad5e28cf,Jessica's Bridal Center,,Clothing Stores,Women's Clothing Stores,"448120",44.954082,-93.277675,Minneapolis,MN
sg:eb6946d677594cefa5b08fb8fbb555e4,R&m diamonds,,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,"448310",44.949638,-93.290396,Minneapolis,MN
sg:3dc2f217c72b40a1a5cd47acba379a62,Carousel Folk,,Used Merchandise Stores,Used Merchandise Stores,"453310",44.926668,-93.2268,Minneapolis,MN
sg:582038c701d44cd6b82c8c34f92f7f3d,Capitol Cafe,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.962469,-93.236896,Minneapolis,MN
sg:5ae76c3d08e845009b85d5b126aaa491,Stinson Automotive,,Automotive Repair and Maintenance,General Automotive Repair,"811111",45.028,-93.227402,Minneapolis,MN
sg:860db4309b7445f7937e034c7020bacf,North 45 Restaurant and Bar,,Restaurants and Other Eating Places,Full-Service Restaurants,"722511",44.970656,-93.277179,Minneapolis,MN
sg:8d977b7f3dc04b66bc6464aa0577dfa8,Gmb Mezzanine Capital,,Other Financial Investment Activities,Investment Advice,"523930",44.978418,-93.27181,Minneapolis,MN
sg:c23df103b0ea4594a55cde73131adeb4,Style Society,,Gasoline Stations,Gasoline Stations with Convenience Stores,"447110",45.025704,-93.268648,St Anthny Vlg,MN
sg:f3ece4b3f32a4283ab4ebdb1ab5a1785,Metro Education For Future Employ,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.935156,-93.215616,Minneapolis,MN
sg:fdd5287d11af47c094734ff205549692,Nature's Roots,,Personal Care Services,Beauty Salons,"812112",44.934682,-93.224594,Minneapolis,MN
sg:d9030f5498f742cdb68f8bf9a5fbfffc,Windom School,,Elementary and Secondary Schools,Elementary and Secondary Schools,"611110",44.896628,-93.280022,Minneapolis,MN
